위도,경도,weekly_hours
37.407958,126.6704928,49.0
37.5184697,126.6726303,56.5
37.4950219,126.6828315,41.0
37.5416278,126.7323521,38.5
37.5924835,126.6711791,44.0
37.451961,126.7208138,34.0
37.4915726,126.7263394,40.0
37.4655106,126.6932226,65.5
37.5920804,126.6726479,46.0
37.4721127,126.6620373,50.0
37.4767018,126.7536332,40.0
37.52795,126.7391625,41.5
37.5030668,126.7103109,33.5
37.5023705,126.7175655,53.0
37.4516386,126.6372773,42.0
37.4245086,126.6449188,60.0
37.4850372,126.7326286,44.0
37.5939028,126.7125995,57.5
37.4479153,126.6474574,50.5
37.4618407,126.7086711,43.0
37.4889885767499,126.562853921127,0.0
37.4553712,126.719691,46.5
37.4431887,126.7364244,52.0
37.452429,126.7111112,41.0
37.4678799,126.6688096,49.5
37.7473169,126.4860449,36.0
37.398740274579,126.724978779122,56.33333333333334
37.5309927,126.6462981,41.0
37.4660015,126.6936341,44.0
37.5039884,126.7396483,44.0
37.4068194,126.6718282,58.0
37.6017893,126.6576084,38.0
37.4872335,126.7085064,41.0
37.5039991,126.7393501,46.5
37.4248367,126.7489215,47.5
37.4563255,126.6409259,45.0
37.2841454,126.8290491,50.0
37.5547854,126.7463043,44.0
37.4385845,126.7491085,46.5
37.4809471,126.6476668,46.5
37.3809617,126.6566654,86.0
37.5667006,126.6826147,44.0
37.5224277,126.6648538,47.0
37.4931242,126.6853525,32.5
37.5952859,126.7163088,50.0
37.4936905,126.7206197,55.0
37.5781605,126.673765,45.75
37.5476421013661,126.741149616498,48.0
37.4151172407027,126.618222141856,49.50000000000001
37.3710904,126.6494931,81.0
37.3780782129918,126.654641972645,48.16666666666667
37.4878314538035,126.559225224358,40.25
37.3880856,126.6349147,49.5
37.5335596,126.7391287,39.0
37.5294681381898,126.665687769651,49.0
37.5321316,126.6529239,57.5
37.5297026,126.6656787,48.0
37.3949423122559,126.650165044813,0.0
37.5452442,126.7383748,51.0
37.4094235,126.7115532,46.5
37.519455,126.6733803,42.0
37.5943017,126.714436,47.5
37.4246316,126.6472859,59.0
37.480137,126.6366921,49.0
37.5049829,126.7040723,42.0
37.4532253,126.7193693,46.5
37.4508232,126.6381063,91.0
37.3957057,126.6509615,42.0
37.4614785,126.7321987,45.0
37.4426506,126.7145075,43.0
37.4019437,126.7237705,67.0
37.4261816,126.7476057,38.25
37.5082550527195,126.73580149125,0.0
37.4006203,126.7255593,57.0
37.3975947,126.6484388,50.0
37.5083726,126.7320632,49.33333333333334
37.4066929,126.670838,44.0
37.4867621,126.5581458,93.91666666666667
37.3742871,126.6586552,0.0
37.6027927,126.6543363,44.0
37.3947414835124,126.645088161114,45.0
37.4080079,126.6717929,36.0
37.6174791,126.6925551,0.0
37.5925635,126.6759332,47.5
37.4942911,126.7222819,41.0
37.5029771,126.6726489,56.0
37.4817037,126.6458376,44.0
37.5435934,126.6764697,42.16666666666666
37.5278531,126.7301319,40.0
37.4954044373236,126.737028591232,41.5
37.3984464,126.726258,52.5
37.5319071,126.7101183,39.0
37.4136449,126.6762951,54.83333333333334
37.5127963,126.6786843,34.0
37.5307869,126.7316493,46.5
37.5849315,126.7128787,50.0
37.4483381,126.6785536,49.0
37.5036343,126.7019139,46.5
37.5857151,126.6772162,40.83333333333333
37.44851,126.675968,39.0
37.4647463,126.7205565,55.0
37.3791794,126.6463562,45.5
37.4787429,126.66875,40.0
37.968009,124.7210341,45.0
37.4712156,126.6321218,44.0
37.5324735,126.7368717,49.0
37.4011109,126.7147129,44.0
37.439305,126.67437,36.0
37.4927844,126.6860858,38.0
37.4567082,126.679705,47.5
37.4300815,126.7168899,46.5
37.4016809,126.7230659,51.33333333333333
37.5590162,126.7561503,44.0
37.4228017,126.6834091,44.0
37.4414793,126.6596409,50.0
37.5338732,126.6456662,44.5
37.5236926,126.6240499,50.0
37.4481463,126.6491201,46.0
37.5478606,126.7406685,46.5
37.4629017,126.6953334,74.0
37.4614552,126.7317473,3.0
37.388996,126.6353223,54.0
37.5309654,126.7378296,40.0
37.4607825,126.7097565,52.0
37.489476,126.5624567,60.0
37.6026027,126.6574368,46.0
37.59467984165,126.716769980305,51.5
37.5062123,126.7086197,44.0
37.3975366,126.7275277,52.5
37.4927747,126.4884614,47.5
37.5158535,126.7260311,37.5
37.4872993,126.5574799,42.0
37.5392561,126.7372213,41.0
37.4614272,126.7330584,20.0
37.5339351,126.6529254,50.5
37.5277438,126.7228142,36.0
37.5072805,126.7332099,40.0
